["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","BOTTOM"]
["port 4","BOTTOM"]
("port 1","mode 1",1,"port 1",1,"transmission")
(27, 3)
1.8737028625000000e+14 3.7599565535623557e-03 3.1101189308998154e+00
1.8789075926736112e+14 3.7915770979419340e-03 3.0984059697093995e+00
1.8841123228472222e+14 2.8276101943071311e-03 3.0523777012271185e+00
1.8893170530208334e+14 3.1576202964920799e-03 3.0098122512044347e+00
1.8945217831944444e+14 2.5479756891906421e-03 2.9782433688949053e+00
1.8997265133680556e+14 2.9749694485107607e-03 3.0758248112700199e+00
1.9049312435416666e+14 2.2277093758426856e-03 3.2099323181437769e+00
1.9101359737152778e+14 2.3436582763174830e-03 3.3939334166925961e+00
1.9153407038888888e+14 1.3415874091311526e-03 3.7487000100062953e+00
1.9205454340625000e+14 1.2063456004394969e-03 3.8868491729341965e+00
1.9257501642361109e+14 5.4874797709359184e-04 5.0642504940424615e+00
1.9309548944097222e+14 3.1597028578809387e-04 5.0919041380923344e+00
1.9359660086208747e+14 7.8198185755337039e-04 6.3506497576931267e+00
1.9361596245833331e+14 7.8480863136283258e-04 6.3951748369685051e+00
1.9363532405457916e+14 7.8577559593005146e-04 6.4386222439869449e+00
1.9413643547569444e+14 4.5813758492821183e-04 6.4904620933953394e+00
1.9465690849305556e+14 1.0876995663360734e-03 6.5297396445197853e+00
1.9517738151041666e+14 8.6166252853139889e-04 6.4567646624071298e+00
1.9569785452777778e+14 1.5823159825295913e-03 6.5528803641896722e+00
1.9621832754513888e+14 1.3406742973165260e-03 6.6184834472763239e+00
1.9673880056250000e+14 1.8664358324728891e-03 6.7308394144798251e+00
1.9725927357986109e+14 1.3282088945478063e-03 6.8078503822894829e+00
1.9777974659722222e+14 1.5646100868570284e-03 6.7547145931767432e+00
1.9830021961458331e+14 9.9481999804953091e-04 6.4350732558654311e+00
1.9882069263194444e+14 1.5538257156166920e-03 6.2616883014517750e+00
1.9934116564930553e+14 1.6903789390193534e-03 5.9257838241620533e+00
1.9986163866666666e+14 2.4800400272554121e-03 6.0868075110115818e+00
("port 1","mode 1",1,"port 2",1,"transmission")
(27, 3)
1.8737028625000000e+14 9.1194766751628986e-01 -5.7655641434587879e-01
1.8789075926736112e+14 9.1662514109991788e-01 -2.0978236574878265e-01
1.8841123228472222e+14 9.1875031790352080e-01 1.5582428432353879e-01
1.8893170530208334e+14 9.2371691440657100e-01 5.2324646651994355e-01
1.8945217831944444e+14 9.2507057309537655e-01 8.8995863975640399e-01
1.8997265133680556e+14 9.3007232172775678e-01 1.2576025342071735e+00
1.9049312435416666e+14 9.3102069970063306e-01 1.6255474955264098e+00
1.9101359737152778e+14 9.3568078309009528e-01 1.9932520897168766e+00
1.9153407038888888e+14 9.3662223934398658e-01 2.3622952131766133e+00
1.9205454340625000e+14 9.4059565278583035e-01 2.7301688362824907e+00
1.9257501642361109e+14 9.4181904686098838e-01 3.0999376611674196e+00
1.9309548944097222e+14 9.4495495143130470e-01 3.4682982028223024e+00
1.9359660086208747e+14 9.4643543643765204e-01 3.8246150768546023e+00
1.9361596245833331e+14 9.4648369553508016e-01 3.8383269220625351e+00
1.9363532405457916e+14 9.4653595647181366e-01 3.8520361612847323e+00
1.9413643547569444e+14 9.4890047208065975e-01 4.2074610228415334e+00
1.9465690849305556e+14 9.5057433329414120e-01 4.5774064695718897e+00
1.9517738151041666e+14 9.5254039538974122e-01 4.9474989666194205e+00
1.9569785452777778e+14 9.5403817695423510e-01 5.3171785892985790e+00
1.9621832754513888e+14 9.5592048509845262e-01 5.6881681294511743e+00
1.9673880056250000e+14 9.5694060862403141e-01 6.0576548062777293e+00
1.9725927357986109e+14 9.5902275148554095e-01 6.4292732162302446e+00
1.9777974659722222e+14 9.5939702348491940e-01 6.7988189896614868e+00
1.9830021961458331e+14 9.6176940127678656e-01 7.1706768365519764e+00
1.9882069263194444e+14 9.6154412851404558e-01 7.5405771220536604e+00
1.9934116564930553e+14 9.6408180348506900e-01 7.9123183428217514e+00
1.9986163866666666e+14 9.6349370402130596e-01 8.2827736673083887e+00
("port 1","mode 1",1,"port 3",1,"transmission")
(27, 3)
