["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","BOTTOM"]
["port 4","BOTTOM"]
("port 1","mode 1",1,"port 1",1,"transmission")
(25, 3)
1.8737028625000000e+14 3.4822603441113484e-03 3.1374221303513061e+00
1.8789075926736112e+14 3.5645143297196153e-03 3.1020433677972012e+00
1.8841123228472222e+14 2.6618743674168424e-03 3.0461452272949510e+00
1.8893170530208334e+14 3.0153546685503614e-03 3.0072890813766917e+00
1.8945217831944444e+14 2.3886288306042120e-03 2.9759268483484802e+00
1.8997265133680556e+14 2.7751864229864608e-03 3.0678762649633078e+00
1.9049312435416666e+14 1.9995846885862093e-03 3.1746224263068150e+00
1.9101359737152778e+14 2.1083759727911909e-03 3.3293690576897013e+00
1.9153407038888888e+14 1.1102445765639565e-03 3.5967123867235906e+00
1.9205454340625000e+14 1.0385563482217175e-03 3.6454279407940633e+00
1.9257501642361109e+14 2.3156130171443707e-04 4.7738963354076205e+00
1.9309548944097222e+14 1.9714470478896887e-04 3.7887343624799690e+00
1.9361596245833331e+14 4.8846722363015337e-04 6.5846944392831261e+00
1.9413643547569444e+14 1.4693301052839784e-04 6.4927060679264645e+00
1.9465690849305556e+14 8.1386032702735899e-04 6.4238237797997479e+00
1.9517738151041666e+14 6.6561186612553098e-04 6.1980586893527194e+00
1.9569785452777778e+14 1.4163689718616976e-03 6.4154274229102741e+00
1.9621832754513888e+14 1.2133153655555509e-03 6.4358789692538814e+00
1.9673880056250000e+14 1.7629175514510306e-03 6.5857057503103347e+00
1.9725927357986109e+14 1.2967337223927251e-03 6.5740120204718426e+00
1.9777974659722222e+14 1.6631458297729535e-03 6.5520260531621375e+00
1.9830021961458331e+14 1.3132605146942335e-03 6.2611031788362181e+00
1.9882069263194444e+14 1.9617782155736886e-03 6.2526063351651748e+00
1.9934116564930553e+14 2.0367987357207949e-03 6.0736064162803363e+00
1.9986163866666666e+14 2.7473493497299660e-03 6.2341409516095281e+00
("port 1","mode 1",1,"port 2",1,"transmission")
(25, 3)
1.8737028625000000e+14 9.5669682340043483e-01 -5.2761164843361397e-01
1.8789075926736112e+14 9.6010554597151310e-01 -1.5915391521199515e-01
1.8841123228472222e+14 9.6072165892745742e-01 2.0794262543614098e-01
1.8893170530208334e+14 9.6453420533178524e-01 5.7688375921355051e-01
1.8945217831944444e+14 9.6441365065716655e-01 9.4506060547636928e-01
1.8997265133680556e+14 9.6831784829365442e-01 1.3140631938503013e+00
1.9049312435416666e+14 9.6788773370447057e-01 1.6834487664207638e+00
1.9101359737152778e+14 9.7145082863984522e-01 2.0523826268953878e+00
1.9153407038888888e+14 9.7115793736901512e-01 2.4228170234037307e+00
1.9205454340625000e+14 9.7399860631135371e-01 2.7918467559597095e+00
1.9257501642361109e+14 9.7414002648316933e-01 3.1629022275703438e+00
1.9309548944097222e+14 9.7613808358942666e-01 3.5324046610836515e+00
1.9361596245833331e+14 9.7668653769605762e-01 3.9036026171243052e+00
1.9413643547569444e+14 9.7799442875402798e-01 4.2738631454744826e+00
1.9465690849305556e+14 9.7877051260815018e-01 4.6448535570735192e+00
1.9517738151041666e+14 9.7970503218381166e-01 5.0160831844210509e+00
1.9569785452777778e+14 9.8031954043021108e-01 5.3866998926785872e+00
1.9621832754513888e+14 9.8129228392569157e-01 5.7588022734184650e+00
