["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","BOTTOM"]
["port 4","BOTTOM"]
("port 2","mode 1",1,"port 2",1,"transmission")
(27, 3)
1.8737028625000000e+14 3.8875828013087044e-03 3.1139340738354124e+00
1.8789075926736112e+14 4.0748006888200773e-03 3.0377456917752919e+00
1.8841123228472222e+14 3.0043621667151586e-03 3.1212744333195874e+00
1.8893170530208334e+14 3.3821257476809325e-03 3.0042858291104357e+00
1.8945217831944444e+14 2.5385955451672510e-03 3.1049597832080078e+00
1.8997265133680556e+14 3.0121038403296508e-03 3.0751756461721786e+00
1.9049312435416666e+14 2.1129088474609839e-03 3.3339414832186902e+00
1.9101359737152778e+14 2.2768501537956272e-03 3.3507769558430676e+00
1.9153407038888888e+14 1.3003861319521250e-03 3.9078127574441055e+00
1.9205454340625000e+14 1.0885611770013440e-03 3.7735290882033201e+00
1.9257501642361109e+14 6.8018129757541263e-04 5.1917446104348262e+00
1.9309548944097222e+14 1.6128260361994562e-04 5.2797272690027039e+00
1.9359660086208747e+14 9.1651144334440053e-04 6.2528916256405722e+00
1.9361596245833331e+14 9.3114732139648994e-04 6.3023788128358280e+00
1.9363532405457916e+14 9.4352178860090724e-04 6.3512652985804232e+00
1.9413643547569444e+14 5.1274441809529578e-04 6.9247139454092101e+00
1.9465690849305556e+14 1.1934030296451071e-03 6.5188842614305251e+00
1.9517738151041666e+14 8.0923616631048314e-04 6.8139311906826263e+00
1.9569785452777778e+14 1.5508167209998171e-03 6.5730541912376053e+00
1.9621832754513888e+14 1.1324767722228914e-03 6.8540107041841987e+00
1.9673880056250000e+14 1.6804030880851611e-03 6.6953846317213319e+00
1.9725927357986109e+14 1.0268258597479166e-03 6.9299285815609331e+00
1.9777974659722222e+14 1.4125332093786363e-03 6.5677577741890616e+00
1.9830021961458331e+14 8.3443590177205700e-04 6.2737127131419674e+00
1.9882069263194444e+14 1.7586982335563363e-03 6.0995971123071655e+00
1.9934116564930553e+14 1.7117864445991000e-03 5.9095189566271893e+00
1.9986163866666666e+14 2.7326914166290578e-03 6.0769959888858214e+00
("port 2","mode 1",1,"port 3",1,"transmission")
(27, 3)
1.8737028625000000e+14 3.8807781727417340e-01 2.5017543344373956e+00
1.8789075926736112e+14 3.8222013724906295e-01 2.9295948814915844e+00
1.8841123228472222e+14 3.7522277261324932e-01 3.3631001538977316e+00
1.8893170530208334e+14 3.6876284331783787e-01 3.7920431225480167e+00
1.8945217831944444e+14 3.6241448725135267e-01 4.2255479462090975e+00
1.8997265133680556e+14 3.5563564765071332e-01 4.6566712343275105e+00
1.9049312435416666e+14 3.4957684100643843e-01 5.0892348250185471e+00
1.9101359737152778e+14 3.4296316108686958e-01 5.5228800878085478e+00
1.9153407038888888e+14 3.3674952257138518e-01 5.9545339165402655e+00
1.9205454340625000e+14 3.3070976021852305e-01 6.3900318002707213e+00
1.9257501642361109e+14 3.2409097298206374e-01 6.8217385109700857e+00
1.9309548944097222e+14 3.1873939088152509e-01 7.2577476059260535e+00
1.9359660086208747e+14 3.1201588752287140e-01 7.6748180132299701e+00
1.9361596245833331e+14 3.1180737027746780e-01 7.6908064499752999e+00
1.9363532405457916e+14 3.1160481962822567e-01 7.7068004710008049e+00
1.9413643547569444e+14 3.0692205889197682e-01 8.1260638315258600e+00
1.9465690849305556e+14 3.0004852472642007e-01 8.5612960960682134e+00
1.9517738151041666e+14 2.9522406932459955e-01 8.9953380123721836e+00
1.9569785452777778e+14 2.8883724339073619e-01 9.4325360115905639e+00
1.9621832754513888e+14 2.8373559358305966e-01 9.8659680954752957e+00
1.9673880056250000e+14 2.7807177855912080e-01 1.0303945179801820e+01
1.9725927357986109e+14 2.7262475274164916e-01 1.0738082762199925e+01
1.9777974659722222e+14 2.6759769181974535e-01 1.1175330942916929e+01
1.9830021961458331e+14 2.6204011755416451e-01 1.1611382038248207e+01
1.9882069263194444e+14 2.5730486351230225e-01 1.2046952818143916e+01
1.9934116564930553e+14 2.5202721020797014e-01 1.2485231707549200e+01
1.9986163866666666e+14 2.4719469596590715e-01 1.2919320209659721e+01
("port 2","mode 1",1,"port 4",1,"transmission")
(27, 3)
1.8737028625000000e+14 1.6375031446435413e-03 3.9651770439032014e-01
1.8789075926736112e+14 1.5370115282051012e-03 7.4057957566658417e-01
1.8841123228472222e+14 1.3768806386490846e-03 1.0690731148273209e+00
1.8893170530208334e+14 1.1706319221663601e-03 1.3863800126810046e+00
1.8945217831944444e+14 9.8914101644977581e-04 1.6463575191200142e+00
1.8997265133680556e+14 8.6456240155057104e-04 1.8985121032327019e+00
1.9049312435416666e+14 8.1478537028634504e-04 2.1362942745729225e+00
1.9101359737152778e+14 8.3925813181765158e-04 2.4690586597344719e+00
1.9153407038888888e+14 8.9458158792958314e-04 2.8628337818738849e+00
1.9205454340625000e+14 1.0022251472522885e-03 3.3341898307678495e+00
1.9257501642361109e+14 1.1109885455902573e-03 3.8293959138142211e+00
1.9309548944097222e+14 1.2591373515769468e-03 4.3227401568166188e+00
1.9359660086208747e+14 1.3849559122645111e-03 4.7973131391781845e+00
1.9361596245833331e+14 1.3894039765152398e-03 4.8148545946627737e+00
1.9363532405457916e+14 1.3938653502919656e-03 4.8323361302601935e+00
1.9413643547569444e+14 1.5169686076130413e-03 5.2761176749248646e+00
1.9465690849305556e+14 1.6130513471833850e-03 5.7354471594484204e+00
1.9517738151041666e+14 1.6650146748228428e-03 6.1704713894083731e+00
1.9569785452777778e+14 1.6849207216385368e-03 6.6054603253465434e+00
1.9621832754513888e+14 1.6440353063923215e-03 7.0336129741049991e+00
1.9673880056250000e+14 1.5794029539827126e-03 7.4619983157563894e+00
1.9725927357986109e+14 1.4693871719236179e-03 7.9046207956852825e+00
1.9777974659722222e+14 1.3523441524722723e-03 8.3505289475247295e+00
1.9830021961458331e+14 1.2367123549165743e-03 8.8335220125394631e+00
1.9882069263194444e+14 1.1408421195707363e-03 9.3285594229459807e+00
1.9934116564930553e+14 1.1086455312658656e-03 9.8620435916624167e+00
1.9986163866666666e+14 1.1217490897446512e-03 1.0396351601987176e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(27, 3)
1.8737028625000000e+14 9.1570314327450286e-01 -5.5111942316936191e-01
1.8789075926736112e+14 9.2030551472308930e-01 -1.8437667473742220e-01
1.8841123228472222e+14 9.2229924101868177e-01 1.8155152615849030e-01
1.8893170530208334e+14 9.2721275155983529e-01 5.4893188100913815e-01
1.8945217831944444e+14 9.2841992221858849e-01 9.1594633487336841e-01
1.8997265133680556e+14 9.3338574102048255e-01 1.2835370002127890e+00
1.9049312435416666e+14 9.3417776769767802e-01 1.6517680182765733e+00
1.9101359737152778e+14 9.3881223749027110e-01 2.0194101253879335e+00
1.9153407038888888e+14 9.3958771829810894e-01 2.3887193910502429e+00
1.9205454340625000e+14 9.4355093725271644e-01 2.7565150514734231e+00
1.9257501642361109e+14 9.4460769705931991e-01 3.1265488773187609e+00
1.9309548944097222e+14 9.4771906964905150e-01 3.4948122404296389e+00
1.9359660086208747e+14 9.4906954805117272e-01 3.8513611726606842e+00
1.9361596245833331e+14 9.4910603196107746e-01 3.8650723756549477e+00
1.9363532405457916e+14 9.4914698147927890e-01 3.8787799216383907e+00
1.9413643547569444e+14 9.5150516827519016e-01 4.2341321935420364e+00
1.9465690849305556e+14 9.5302527586417585e-01 4.6042845259578016e+00
1.9517738151041666e+14 9.5497854854516895e-01 4.9743018125864324e+00
1.9569785452777778e+14 9.5632211143183077e-01 5.3441595215737712e+00
1.9621832754513888e+14 9.5820361592470948e-01 5.7150827811295688e+00
1.9673880056250000e+14 9.5906060120227066e-01 6.0847229732147774e+00
1.9725927357986109e+14 9.6115469742967719e-01 6.4562808392408595e+00
1.9777974659722222e+14 9.6135464487709099e-01 6.8259554816033852e+00
1.9830021961458331e+14 9.6375759323008714e-01 7.1977562696908191e+00
1.9882069263194444e+14 9.6334451592648385e-01 7.5677701492818699e+00
1.9934116564930553e+14 9.6592742282124844e-01 7.9394519779602231e+00
1.9986163866666666e+14 9.6514016187832807e-01 8.3100103903417875e+00
("port 3","mode 1",1,"port 2",1,"transmission")
(27, 3)
1.8737028625000000e+14 3.8737782036410057e-01 2.5018569466438136e+00
1.8789075926736112e+14 3.8152338167451577e-01 2.9299243813553155e+00
1.8841123228472222e+14 3.7455430104354109e-01 3.3632513063221348e+00
1.8893170530208334e+14 3.6809803875852271e-01 3.7923943243318932e+00
1.8945217831944444e+14 3.6179075995085064e-01 4.2257434231048094e+00
1.8997265133680556e+14 3.5501174496223942e-01 4.6570578061292203e+00
1.9049312435416666e+14 3.4900278781851879e-01 5.0894762429289608e+00
1.9101359737152778e+14 3.4238486748760527e-01 5.5233059564236289e+00
1.9153407038888888e+14 3.3622615605858330e-01 5.9548215976530789e+00
1.9205454340625000e+14 3.3017534627343093e-01 6.3904868841594391e+00
1.9257501642361109e+14 3.2362185462140253e-01 6.8220472661949811e+00
1.9309548944097222e+14 3.1825398800550797e-01 7.2582463572493978e+00
1.9359660086208747e+14 3.1158279804556033e-01 7.6751338420615003e+00
1.9361596245833331e+14 3.1137834713110718e-01 7.6911273747855464e+00
1.9363532405457916e+14 3.1117963630287648e-01 7.7071276300618630e+00
1.9413643547569444e+14 3.0648831124524822e-01 8.1265467303037475e+00
1.9465690849305556e+14 2.9967001174140417e-01 8.5616305268546533e+00
1.9517738151041666e+14 2.9483891437119142e-01 8.9958136902715840e+00
1.9569785452777778e+14 2.8850461155468166e-01 9.4328745788785771e+00
1.9621832754513888e+14 2.8339569635057554e-01 9.8664185110174731e+00
1.9673880056250000e+14 2.7778450768014706e-01 1.0304273105452920e+01
1.9725927357986109e+14 2.7232686704126013e-01 1.0738499806370029e+01
1.9777974659722222e+14 2.6735211949415172e-01 1.1175632899576724e+01
1.9830021961458331e+14 2.6177908551072587e-01 1.1611753405183968e+01
1.9882069263194444e+14 2.5709516415452560e-01 1.2047205851491247e+01
1.9934116564930553e+14 2.5179808133230519e-01 1.2485536672754945e+01
1.9986163866666666e+14 2.4701545830613891e-01 1.2919499184117154e+01
("port 3","mode 1",1,"port 3",1,"transmission")
(27, 3)
1.8737028625000000e+14 6.8495681271196450e-03 -2.5226108227364641e+00
1.8789075926736112e+14 5.9526365941518430e-03 -2.2937993655664441e+00
1.8841123228472222e+14 4.0863153965791117e-03 -1.8533184619827499e+00
1.8893170530208334e+14 2.4869980219412724e-03 -1.6548292817639676e+00
1.8945217831944444e+14 1.2149483336181032e-03 -8.4205789111090323e-01
1.8997265133680556e+14 1.8010835361446679e-04 1.7123395852009646e+00
1.9049312435416666e+14 6.1790571183598000e-04 1.5053824263369620e+00
1.9101359737152778e+14 9.2178784286744454e-04 2.4630950187682306e+00
1.9153407038888888e+14 6.2866476589782880e-04 1.8477248263227481e+00
1.9205454340625000e+14 9.1531122843997086e-04 2.3882770255898871e+00
1.9257501642361109e+14 8.1412060546100804e-04 2.0433864536394091e+00
1.9309548944097222e+14 1.2110733604479100e-03 2.9224087069438531e+00
1.9359660086208747e+14 8.7497061030940228e-04 3.6880866583748406e+00
1.9361596245833331e+14 8.7732537407441444e-04 3.6982596823137426e+00
1.9363532405457916e+14 8.8241841834689526e-04 3.7080182748919479e+00
1.9413643547569444e+14 1.7421555934411645e-03 4.3460525392151395e+00
1.9465690849305556e+14 2.4876905771581757e-03 5.1935006672413389e+00
1.9517738151041666e+14 3.3285055815198963e-03 5.5171338861683603e+00
1.9569785452777778e+14 4.5418601603300331e-03 6.0219795305484398e+00
1.9621832754513888e+14 4.8168626854089248e-03 6.3492364248319753e+00
1.9673880056250000e+14 5.6239149959342984e-03 6.7209857379824989e+00
1.9725927357986109e+14 5.1495061946482436e-03 7.0933054297177316e+00
